"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1366","TC-016.Like It: Add task - non-default priority level @smoke @add-task @view-list @priority @TC-016","chromium","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","4238","TC-010:	Add task - empty task name not allowed @smoke @add-task @TC-010","webkit","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","495","TC-002: Week Label - Default @smoke @week @week-label @TC-002","webkit","2026-07-27","passed","2026-07-27","","home-header-nav.test.js","",""
"","1565","TC-007: Next Week Button - All week navigation buttons enabled @smoke @week @week-nav @TC-007","webkit","2026-07-27","passed","2026-07-27","","home-header-nav.test.js","",""
"","1249","TC-007: Next Week Button - All week navigation buttons enabled @smoke @week @week-nav @TC-007","chromium","2026-07-27","passed","2026-07-27","","home-header-nav.test.js","",""
"","1705","TC-019: Add task - repeat every day @smoke @add-task @view-list @repeat-task @TC-019","chromium","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","1405","TC-016.Tada: Add task - non-default priority level @smoke @add-task @view-list @priority @TC-016","chromium","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","2081","TC-010:	Add task - empty task name not allowed @smoke @add-task @TC-010","chromium","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","489","TC-005: Current Week Button - Default State @smoke @week @week-nav @TC-005","webkit","2026-07-27","passed","2026-07-27","","home-header-nav.test.js","",""
"","1692","TC-020: Add task - repeat every other day @smoke @add-task @view-list @repeat-task @TC-020","chromium","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","1369","TC-018: Add task - repeat task count must not exceed maximum @smoke @add-task @repeat-task @TC-018","chromium","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","1691","TC-004: Week Label - Next Week @smoke @week @week-label @TC-004","webkit","2026-07-27","passed","2026-07-27","","home-header-nav.test.js","",""
"","273","TC-005: Current Week Button - Default State @smoke @week @week-nav @TC-005","chromium","2026-07-27","passed","2026-07-27","","home-header-nav.test.js","",""
"","1455","TC-017: Add task - repeat task count @smoke @add-task @view-list @TC-017","chromium","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","1941","TC-014: Add task - task name contains emojis @smoke @add-task @view-list @TC-014","webkit","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","2227","TC-017: Add task - repeat task count @smoke @add-task @view-list @TC-017","webkit","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","1851","TC-021: Add task - repeat day requires selection @smoke @add-task @repeat-task @TC-021","webkit","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","1334","TC-009: Current Week Button - from Next Week @smoke @week @week-nav @TC-009","chromium","2026-07-27","passed","2026-07-27","","home-header-nav.test.js","",""
"","2477","TC-019: Add task - repeat every day @smoke @add-task @view-list @repeat-task @TC-019","webkit","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","1593","TC-008: Current Week Button - from Previous Week @smoke @week @week-nav @TC-008","webkit","2026-07-27","passed","2026-07-27","","home-header-nav.test.js","",""
"","1956","TC-011.2: Add task - valid name with defaults @smoke @add-task @view-list @user2 @TC-011","webkit","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","1581","TC-003: Week Label - Previous Week @smoke @week @week-label @TC-003","webkit","2026-07-27","passed","2026-07-27","","home-header-nav.test.js","",""
"","1928","TC-018: Add task - repeat task count must not exceed maximum @smoke @add-task @repeat-task @TC-018","webkit","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","1368","TC-013: Add task - task name contains special characters @smoke @add-task @view-list @TC-013","chromium","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","473","TC-001: Title @smoke @header @TC-001","webkit","2026-07-27","passed","2026-07-27","","home-header-nav.test.js","",""
"","1253","TC-006: Previous Week Button - All week navigation buttons enabled @smoke @week @week-nav @TC-006","chromium","2026-07-27","passed","2026-07-27","","home-header-nav.test.js","",""
"","1374","TC-012: Add task - task name exceeds max character limit @smoke @add-task @view-list @TC-012","chromium","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","1352","TC-021: Add task - repeat day requires selection @smoke @add-task @repeat-task @TC-021","chromium","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","2256","TC-020: Add task - repeat every other day @smoke @add-task @view-list @repeat-task @TC-020","webkit","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","1333","TC-008: Current Week Button - from Previous Week @smoke @week @week-nav @TC-008","chromium","2026-07-27","passed","2026-07-27","","home-header-nav.test.js","",""
"","1374","TC-015: Add task - non-default owner @smoke @add-task @view-list @TC-015","chromium","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","1607","TC-006: Previous Week Button - All week navigation buttons enabled @smoke @week @week-nav @TC-006","webkit","2026-07-27","passed","2026-07-27","","home-header-nav.test.js","",""
"","1893","TC-015: Add task - non-default owner @smoke @add-task @view-list @TC-015","webkit","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","1600","TC-016.Gotta Have It: Add task - non-default priority level @smoke @add-task @view-list @priority @TC-016","chromium","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","1381","TC-011.2: Add task - valid name with defaults @smoke @add-task @view-list @user2 @TC-011","chromium","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","266","TC-001: Title @smoke @header @TC-001","chromium","2026-07-27","passed","2026-07-27","","home-header-nav.test.js","",""
"","1236","TC-004: Week Label - Next Week @smoke @week @week-label @TC-004","chromium","2026-07-27","passed","2026-07-27","","home-header-nav.test.js","",""
"","1393","TC-016.Love It: Add task - non-default priority level @smoke @add-task @view-list @priority @TC-016","chromium","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","1970","TC-012: Add task - task name exceeds max character limit @smoke @add-task @view-list @TC-012","webkit","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","1642","TC-009: Current Week Button - from Next Week @smoke @week @week-nav @TC-009","webkit","2026-07-27","passed","2026-07-27","","home-header-nav.test.js","",""
"","1865","TC-016.Like It: Add task - non-default priority level @smoke @add-task @view-list @priority @TC-016","webkit","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","1915","TC-013: Add task - task name contains special characters @smoke @add-task @view-list @TC-013","webkit","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","1384","TC-014: Add task - task name contains emojis @smoke @add-task @view-list @TC-014","chromium","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","281","TC-002: Week Label - Default @smoke @week @week-label @TC-002","chromium","2026-07-27","passed","2026-07-27","","home-header-nav.test.js","",""
"","2081","TC-011.1: Add task - valid name with defaults @smoke @add-task @view-list @user1 @TC-011","webkit","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","1399","TC-011.1: Add task - valid name with defaults @smoke @add-task @view-list @user1 @TC-011","chromium","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","1823","TC-016.Tada: Add task - non-default priority level @smoke @add-task @view-list @priority @TC-016","webkit","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","1256","TC-003: Week Label - Previous Week @smoke @week @week-label @TC-003","chromium","2026-07-27","passed","2026-07-27","","home-header-nav.test.js","",""
"","1925","TC-016.Gotta Have It: Add task - non-default priority level @smoke @add-task @view-list @priority @TC-016","webkit","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","1834","TC-016.Love It: Add task - non-default priority level @smoke @add-task @view-list @priority @TC-016","webkit","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
