"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1502","TC-006: Previous Week Button - All week navigation buttons enabled","webkit","2026-08-03","passed","2026-08-03","","home-header-nav.test.js","",""
"","1577","TC-008: Current Week Button - from Previous Week","webkit","2026-08-03","passed","2026-08-03","","home-header-nav.test.js","",""
"","1714","TC-016.Tada: Add task - non-default priority level","webkit","2026-08-03","passed","2026-08-03","","add-task.test.js","",""
"","1303","TC-018: Add task - repeat task count must not exceed maximum","chromium","2026-08-03","passed","2026-08-03","","add-task.test.js","",""
"","1612","TC-019: Add task - repeat every day","chromium","2026-08-03","passed","2026-08-03","","add-task.test.js","",""
"","239","TC-002: Week Label - Default","chromium","2026-08-03","passed","2026-08-03","","home-header-nav.test.js","",""
"","1804","TC-015: Add task - non-default owner","webkit","2026-08-03","passed","2026-08-03","","add-task.test.js","",""
"","1811","TC-021: Add task - repeat day requires selection","webkit","2026-08-03","passed","2026-08-03","","add-task.test.js","",""
"","440","TC-002: Week Label - Default","webkit","2026-08-03","passed","2026-08-03","","home-header-nav.test.js","",""
"","402","TC-001: Title","webkit","2026-08-03","passed","2026-08-03","","home-header-nav.test.js","",""
"","1135","TC-004: Week Label - Next Week","chromium","2026-08-03","passed","2026-08-03","","home-header-nav.test.js","",""
"","1253","TC-009: Current Week Button - from Next Week","chromium","2026-08-03","passed","2026-08-03","","home-header-nav.test.js","",""
"","1751","TC-012: Add task - task name exceeds max character limit","webkit","2026-08-03","passed","2026-08-03","","add-task.test.js","",""
"","1164","TC-006: Previous Week Button - All week navigation buttons enabled","chromium","2026-08-03","passed","2026-08-03","","home-header-nav.test.js","",""
"","1217","TC-008: Current Week Button - from Previous Week","chromium","2026-08-03","passed","2026-08-03","","home-header-nav.test.js","",""
"","1265","TC-014: Add task - task name contains emojis","chromium","2026-08-03","passed","2026-08-03","","add-task.test.js","",""
"","3143","TC-010:	Add task - empty task name not allowed","webkit","2026-08-03","passed","2026-08-03","","add-task.test.js","",""
"","1764","TC-014: Add task - task name contains emojis","webkit","2026-08-03","passed","2026-08-03","","add-task.test.js","",""
"","1337","TC-017: Add task - repeat task count","chromium","2026-08-03","passed","2026-08-03","","add-task.test.js","",""
"","1725","TC-016.Like It: Add task - non-default priority level","webkit","2026-08-03","passed","2026-08-03","","add-task.test.js","",""
"","1349","TC-016.Love It: Add task - non-default priority level","chromium","2026-08-03","passed","2026-08-03","","add-task.test.js","",""
"","2044","TC-020: Add task - repeat every other day","webkit","2026-08-03","passed","2026-08-03","","add-task.test.js","",""
"","1296","TC-016.Gotta Have It: Add task - non-default priority level","chromium","2026-08-03","passed","2026-08-03","","add-task.test.js","",""
"","1556","TC-009: Current Week Button - from Next Week","webkit","2026-08-03","passed","2026-08-03","","home-header-nav.test.js","",""
"","1473","TC-020: Add task - repeat every other day","chromium","2026-08-03","passed","2026-08-03","","add-task.test.js","",""
"","1470","TC-007: Next Week Button - All week navigation buttons enabled","webkit","2026-08-03","passed","2026-08-03","","home-header-nav.test.js","",""
"","1273","TC-015: Add task - non-default owner","chromium","2026-08-03","passed","2026-08-03","","add-task.test.js","",""
"","1156","TC-003: Week Label - Previous Week","chromium","2026-08-03","passed","2026-08-03","","home-header-nav.test.js","",""
"","1167","TC-007: Next Week Button - All week navigation buttons enabled","chromium","2026-08-03","passed","2026-08-03","","home-header-nav.test.js","",""
"","1706","TC-016.Gotta Have It: Add task - non-default priority level","webkit","2026-08-03","passed","2026-08-03","","add-task.test.js","",""
"","422","TC-005: Current Week Button - Default State","webkit","2026-08-03","passed","2026-08-03","","home-header-nav.test.js","",""
"","1262","TC-011.2: Add task - valid name with defaults","chromium","2026-08-03","passed","2026-08-03","","add-task.test.js","",""
"","234","TC-001: Title","chromium","2026-08-03","passed","2026-08-03","","home-header-nav.test.js","",""
"","1744","TC-013: Add task - task name contains special characters","webkit","2026-08-03","passed","2026-08-03","","add-task.test.js","",""
"","2047","TC-017: Add task - repeat task count","webkit","2026-08-03","passed","2026-08-03","","add-task.test.js","",""
"","1270","TC-012: Add task - task name exceeds max character limit","chromium","2026-08-03","passed","2026-08-03","","add-task.test.js","",""
"","1463","TC-004: Week Label - Next Week","webkit","2026-08-03","passed","2026-08-03","","home-header-nav.test.js","",""
"","1991","TC-011.1: Add task - valid name with defaults","webkit","2026-08-03","passed","2026-08-03","","add-task.test.js","",""
"","1486","TC-003: Week Label - Previous Week","webkit","2026-08-03","passed","2026-08-03","","home-header-nav.test.js","",""
"","1972","TC-010:	Add task - empty task name not allowed","chromium","2026-08-03","passed","2026-08-03","","add-task.test.js","",""
"","248","TC-005: Current Week Button - Default State","chromium","2026-08-03","passed","2026-08-03","","home-header-nav.test.js","",""
"","1261","TC-016.Like It: Add task - non-default priority level","chromium","2026-08-03","passed","2026-08-03","","add-task.test.js","",""
"","1291","TC-011.1: Add task - valid name with defaults","chromium","2026-08-03","passed","2026-08-03","","add-task.test.js","",""
"","1728","TC-016.Love It: Add task - non-default priority level","webkit","2026-08-03","passed","2026-08-03","","add-task.test.js","",""
"","1277","TC-013: Add task - task name contains special characters","chromium","2026-08-03","passed","2026-08-03","","add-task.test.js","",""
"","1832","TC-018: Add task - repeat task count must not exceed maximum","webkit","2026-08-03","passed","2026-08-03","","add-task.test.js","",""
"","1277","TC-021: Add task - repeat day requires selection","chromium","2026-08-03","passed","2026-08-03","","add-task.test.js","",""
"","1254","TC-016.Tada: Add task - non-default priority level","chromium","2026-08-03","passed","2026-08-03","","add-task.test.js","",""
"","1910","TC-011.2: Add task - valid name with defaults","webkit","2026-08-03","passed","2026-08-03","","add-task.test.js","",""
"","2330","TC-019: Add task - repeat every day","webkit","2026-08-03","passed","2026-08-03","","add-task.test.js","",""
