"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1867","TC-016.Tada: Add task - non-default priority level @smoke @add-task @view-list @priority @TC-016","webkit","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","1459","TC-020: Add task - repeat every other day @smoke @add-task @view-list @repeat-task @TC-020","chromium","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","1483","TC-004: Week Label - Next Week @smoke @week @week-label @TC-004","webkit","2026-07-27","passed","2026-07-27","","home-header-nav.test.js","",""
"","1150","TC-007: Next Week Button - All week navigation buttons enabled @smoke @week @week-nav @TC-007","chromium","2026-07-27","passed","2026-07-27","","home-header-nav.test.js","",""
"","1269","TC-015: Add task - non-default owner @smoke @add-task @view-list @TC-015","chromium","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","2433","TC-019: Add task - repeat every day @smoke @add-task @view-list @repeat-task @TC-019","webkit","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","6627","TC-010:	Add task - empty task name not allowed @smoke @add-task @TC-010","webkit","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","1203","TC-008: Current Week Button - from Previous Week @smoke @week @week-nav @TC-008","chromium","2026-07-27","passed","2026-07-27","","home-header-nav.test.js","",""
"","1854","TC-021: Add task - repeat day requires selection @smoke @add-task @repeat-task @TC-021","webkit","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","433","TC-002: Week Label - Default @smoke @week @week-label @TC-002","webkit","2026-07-27","passed","2026-07-27","","home-header-nav.test.js","",""
"","1893","TC-011.2: Add task - valid name with defaults @smoke @add-task @view-list @user2 @TC-011","webkit","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","1336","TC-017: Add task - repeat task count @smoke @add-task @view-list @TC-017","chromium","2026-07-27","passed","2026-07-27","","add-task.test.js","",""
"","1493","TC-003: Week Label - Previous Week @smoke @week @week-label @TC-003","webkit","2026-07-27","passed","2026-07-27","","home-header-nav.test.js","",""
